Protein	HG_RPMI_exp_1	HG_RPMI_exp_2	HG_RPMI_exp_3	HG_RPMI_stat_1	HG_RPMI_stat_2	HG_RPMI_stat_3	HG_TSB_exp_1	HG_TSB_exp_2	HG_TSB_exp_3	HG_TSB_stat_1	HG_TSB_stat_2	HG_TSB_stat_3	ST_RPMI_exp_1	ST_RPMI_exp_2	ST_RPMI_exp_3	ST_RPMI_stat_1	ST_RPMI_stat_2	ST_RPMI_stat_3	ST_TSB_exp_1	ST_TSB_exp_2	ST_TSB_exp_3	ST_TSB_stat_1	ST_TSB_stat_2	ST_TSB_stat_3
MoaB	28020.2742	35560.34768	31015.72748	24282.40239	28867.73539	23983.89441	34626.4063	34404.0691	20898.21642	33041.30276	36170.88084	29391.29335	23468.49022	33158.68739	20540.51287	27790.89759	23901.42136	14928.45066	19405.57803	16530.57317	14020.77104	25005.4333	33248.06726	29457.80877
MtnN	157837.765	191611.555	169217.2066	92745.8403	117461.091	115331.4286	148229.7771	132459.6606	116929.7318	98511.98585	90869.60941	96344.34648	106625.4207	101051.9688	114991.9526	103842.8291	116451.3175	128717.0663	140339.5518	93196.06975	122224.7177	100489.0885	88726.57698	82847.35645
PycA	144149.422	136042.4263	152598.8485	179957.8577	157438.9091	188543.7282	97373.92079	88994.67876	85194.30544	204182.4847	194409.4053	198248.1926	155232.6906	113575.8458	128887.0452	172950.2969	211273.5787	193323.0359	99924.14793	67003.24143	81330.61122	170374.7883	177724.4706	195347.0053
SAOUHSC_00656	11683.76468	8380.942343	9749.28262	15251.72008	5673.734994	NA	11096.01217	8516.996443	17323.9553	44187.46855	38667.39622	42266.00515	10853.09985	2380.646645	6640.700497	4914.815716	3859.772428	9081.153351	13673.7627	5069.07219	7913.868921	57395.55369	41984.40801	50571.71249
SAOUHSC_02133	152455.7118	182581.0203	177614.5424	105408.2477	102174.5364	132999.9002	148553.6584	146779.8191	114259.3219	103937.7908	104688.6583	104661.8233	162834.5888	159876.4905	154613.6707	181246.7185	188753.4251	115554.6604	118727.5787	89757.52808	102024.201	114295.6346	96167.49597	97493.26144
LeuB	NA	NA	NA	3002.938086	NA	NA	NA	NA	NA	6745.394348	NA	NA	NA	NA	NA	NA	4329.396977	7348.587889	NA	NA	NA	NA	NA	NA
PheT	152865.2626	118623.1071	139911.8607	60421.01285	67584.69628	78005.8042	98789.83624	121590.7195	157738.0598	116101.1971	90472.49416	112949.2886	156363.1977	103604.736	130850.8854	62216.48267	97943.97714	109096.0657	154440.9057	106659.1727	129824.9973	86571.4093	92070.72731	114059.3905
Spa	48525.37941	32845.62329	43772.40267	24016.95815	20480.43719	30253.62676	14542.28012	23193.99003	48176.28218	27414.64828	5462.715887	27456.78517	33893.60367	14374.00784	34499.7348	18115.11923	15313.00034	26137.33931	18031.35657	19686.20604	23448.33592	NA	14948.85557	19648.81611
Cmk	181272.3328	182587.0231	193742.4924	128134.3779	111269.3647	160361.6498	162141.6387	167529.5348	164295.067	91856.32536	89205.25982	107130.2972	156610.7047	118000.2963	178502.3122	157299.7933	137948.2094	99125.43064	126194.4942	115149.3302	140171.3112	66103.63425	80407.27133	96859.6131
TcyA	10515.90362	13560.58663	16529.40246	18784.75297	24181.40789	23861.70483	53189.48879	44736.80736	56731.43477	70736.07356	63669.58676	66782.1371	10681.93285	19324.69875	13534.68332	27846.82579	13912.34493	9024.224335	41737.96242	28564.38911	46076.30906	50821.21894	56290.11054	58441.65684
SAOUHSC_02556	10494.38578	11144.60087	11153.53585	12934.30688	26207.80348	18443.25491	31195.07503	27314.92538	22642.54075	39365.3539	37338.99604	35335.61893	9725.558092	15872.56105	10680.63661	11823.15048	15451.90369	23949.82486	24344.52426	19268.26946	19516.80074	34477.90136	33581.36748	36282.55349
ClpL	14221.5663	17915.68638	15535.80598	26744.13091	25714.3983	25187.85075	19391.96772	11073.52068	7084.449242	88262.19665	102800.3244	87151.8869	34841.24359	37407.0911	35381.30184	40212.7601	45108.62372	32828.147	12843.3709	7602.743567	7810.112709	73425.00695	73131.55802	73611.4117
SAOUHSC_02982	5936.86806	24944.0215	18430.67115	14131.03947	19585.99428	26175.92841	15105.59503	16297.98743	9103.288578	9902.179841	10075.40057	7119.04136	6431.223767	20968.29723	8121.038081	34541.4009	14276.4163	7274.072768	7401.401458	4687.905258	5841.967803	6065.872557	5045.660607	3024.312726
FusA	1224610.022	1248617.238	1245988.456	585686.6612	476593.4274	687949.7325	1418537.929	1724800.581	1710194.413	1153657.548	1097874.214	1042709.942	1395101.322	933250.0858	1495015.437	606527.8412	851632.963	809088.1925	2011453.942	1277723.469	1762126.378	897863.678	957748.0481	1057711.306
HemH	68762.97527	41490.42248	47360.1922	39571.30132	53919.16863	58270.99523	59612.40699	42208.18838	56876.34592	58555.22982	51707.91916	58400.68949	55484.01308	38196.63863	40372.44507	56807.35841	45940.16661	55846.70932	57902.694	44008.19112	67083.8183	59669.58642	46714.65066	61576.4922
CysS	273845.4422	299295.0776	313150.9334	194033.9975	271193.5003	259646.677	273502.68	245533.5078	202653.2648	254014.8471	247377.0039	230512.8427	326769.8782	170754.0194	275147.5919	287762.956	291878.3066	220101.0017	192273.1684	154301.9452	206016.8725	262780.4325	242957.6128	268421.7602
SAOUHSC_00444	918870.1775	863640.9626	892269.5742	790194.1408	552289.899	1034664.411	1146778.243	1111366.653	999776.3852	1368784.906	942521.1564	1381661.754	1134348.39	855420.2514	988735.3136	1130070.608	673806.7122	673059.8808	1326601.16	872788.8744	901894.3756	708437.7272	761962.7721	863161.98
